Arugula,100.0,2
Arugula,101.0,1
Arugula,104.0,1
Arugula,105.0,1
Arugula,106.0,2
Arugula,108.0,2
Arugula,109.0,1
Arugula,110.0,1
Arugula,111.0,10
BBQ Beef Meatloaf,100.0,1
BBQ Beef Meatloaf,101.0,7
BBQ Beef Meatloaf,103.0,1
BBQ Beef Meatloaf,104.0,17
BBQ Beef Meatloaf,105.0,3
BBQ Beef Meatloaf,106.0,13
BBQ Beef Meatloaf,107.0,25
BBQ Beef Meatloaf,109.0,1
BBQ Chicken Wings,104.0,3
BBQ Chicken Wings,105.0,1
Bangkok Chicken Wings,101.0,1
Bangkok Chicken Wings,103.0,1
Bangkok Chicken Wings,104.0,38
Bangkok Chicken Wings,105.0,2
Bangkok Chicken Wings,106.0,7
Bangkok Chicken Wings,107.0,3
Beef Cavatappi Chop Suey,101.0,1
Beef Cavatappi Chop Suey,103.0,1
Beef Cavatappi Chop Suey,104.0,84
Beef Cavatappi Chop Suey,105.0,3
Beef Cavatappi Chop Suey,106.0,8
Beef Cavatappi Chop Suey,107.0,6
Beef Cavatappi Chop Suey,109.0,1
Berry Power Salad,100.0,2
Berry Power Salad,101.0,2
Berry Power Salad,104.0,1
Berry Power Salad,106.0,1
Berry Power Salad,110.0,6
Berry Power Salad,111.0,2
Bistro Pasta Salad,100.0,5
Bistro Pasta Salad,101.0,4
Bistro Pasta Salad,103.0,1
Bistro Pasta Salad,105.0,1
Bistro Pasta Salad,106.0,1
Bistro Pasta Salad,107.0,1
Bistro Pasta Salad,110.0,11
Bistro Pasta Salad,111.0,7
Black Beans,100.0,1
Black Beans,101.0,3
Black Beans,102.0,1
Black Beans,106.0,1
Black Beans,110.0,10
Black Beans,111.0,9
Blackberries,100.0,3
Blackberries,101.0,5
Blackberries,104.0,1
Blackberries,106.0,1
Blackberries,107.0,1
Blackberries,110.0,9
Blackberries,111.0,12
Blackened Potatoes,101.0,2
Blackened Potatoes,103.0,1
Blackened Potatoes,105.0,1
Blackened Potatoes,106.0,12
Blackened Potatoes,107.0,33
Blackened Potatoes,108.0,1
Blueberries,100.0,3
Blueberries,101.0,5
Blueberries,106.0,4
Blueberries,107.0,2
Blueberries,110.0,5
Blueberries,111.0,12
Blueberry Lemon Pancakes,100.0,1
Blueberry Lemon Pancakes,103.0,1
Blueberry Lemon Pancakes,104.0,9
Blueberry Lemon Pancakes,106.0,7
Blueberry Lemon Pancakes,107.0,2
Blueberry Lemon Pancakes,108.0,1
Blueberry Lemon Pancakes,111.0,1
